# Eleft Eright counts c1_c1 
3.00000E+00 4.00000E+00 9.26730E+06 9.26730E+06
4.00000E+00 5.00000E+00 8.69646E+06 8.69646E+06
5.00000E+00 6.00000E+00 8.15814E+06 8.15814E+06
6.00000E+00 7.00000E+00 7.65062E+06 7.65062E+06
7.00000E+00 8.00000E+00 7.17227E+06 7.17227E+06
8.00000E+00 9.00000E+00 6.72151E+06 6.72151E+06
9.00000E+00 1.00000E+01 6.29690E+06 6.29690E+06
1.00000E+01 1.10000E+01 5.89701E+06 5.89701E+06
1.10000E+01 1.20000E+01 5.52052E+06 5.52052E+06
1.20000E+01 1.30000E+01 5.16614E+06 5.16614E+06
1.30000E+01 1.40000E+01 4.83269E+06 4.83269E+06
1.40000E+01 1.50000E+01 4.51901E+06 4.51901E+06
1.50000E+01 1.60000E+01 4.22402E+06 4.22402E+06
1.60000E+01 1.70000E+01 3.94668E+06 3.94668E+06
1.70000E+01 1.80000E+01 3.68603E+06 3.68603E+06
1.80000E+01 1.90000E+01 3.44114E+06 3.44114E+06
1.90000E+01 2.00000E+01 3.21112E+06 3.21112E+06
2.00000E+01 2.10000E+01 2.99515E+06 2.99515E+06
2.10000E+01 2.20000E+01 2.79242E+06 2.79242E+06
2.20000E+01 2.30000E+01 2.60220E+06 2.60220E+06
2.30000E+01 2.40000E+01 2.42377E+06 2.42377E+06
2.40000E+01 2.50000E+01 2.25646E+06 2.25646E+06
2.50000E+01 2.60000E+01 2.09963E+06 2.09963E+06
2.60000E+01 2.70000E+01 1.95268E+06 1.95268E+06
2.70000E+01 2.80000E+01 1.81503E+06 1.81503E+06
2.80000E+01 2.90000E+01 1.68615E+06 1.68615E+06
2.90000E+01 3.00000E+01 1.56552E+06 1.56552E+06
